num_hidden_layers,hidden_size,layer,neuron_index,value
2,10,0,0,0.1392031
2,10,0,0,0.11283678
2,10,0,0,0.16401999
2,10,0,0,0.10347561
2,10,0,0,0.104651
2,10,0,0,0.10041467
2,10,0,0,0.15388006
2,10,0,0,0.08444011
2,10,0,0,0.15197629
2,10,0,0,0.08434066
2,10,0,0,0.16757394
2,10,0,0,0.16465272
2,10,0,0,0.10067012
2,10,0,0,0.122336075
2,10,0,0,0.12432648
2,10,0,0,0.15031831
2,10,0,0,0.14461012
2,10,0,0,0.13920778
2,10,0,0,0.16818883
2,10,0,0,0.12456966
2,10,0,0,0.11926074
2,10,0,0,0.12681477
2,10,0,0,0.113051444
2,10,0,0,0.08644439
2,10,0,0,0.11547641
2,10,0,0,0.14234003
2,10,0,0,0.14427309
2,10,0,0,0.15397605
2,10,0,0,0.15624659
2,10,0,0,0.13362479
2,10,0,0,0.1342971
2,10,0,0,0.10786827
2,10,0,0,0.14494854
2,10,0,0,0.09289072
2,10,0,0,0.15660627
2,10,0,0,0.12665796
2,10,0,0,0.0885669
2,10,0,0,0.0845088
2,10,0,0,0.15140244
2,10,0,0,0.11920676
2,10,0,0,0.121757545
2,10,0,0,0.14670904
2,10,0,0,0.1414653
2,10,0,0,0.11526514
2,10,0,0,0.15633783
2,10,0,0,0.119765036
2,10,0,0,0.10838423
2,10,0,0,0.14353018
2,10,0,0,0.09146934
2,10,0,0,0.1295763
2,10,0,0,0.10749206
2,10,0,0,0.08468218
2,10,0,0,0.13977234
2,10,0,0,0.103679225
2,10,0,0,0.1389375
2,10,0,0,0.13298815
2,10,0,0,0.13398278
2,10,0,0,0.12704287
2,10,0,0,0.14283721
2,10,0,0,0.116815306
2,10,0,0,0.12517704
